[ 2016-02-18T10:25:31+08:00 ]EXCEPTION: INSERT INTO user (`account`,`uname`,`email`,`phone`,`fixphone`,`about`,`uid`)VALUES(?,?,?,?,?,?,?) ;BindParams:array (
  0 => 'tarqat',
  1 => 'erkin',
  2 => '1027820779@qq.com',
  3 => '13201223537',
  4 => '09988957386',
  5 => '我是一名程序员',
  6 => '10',
)23000;1062;Duplicate entry '10' for key 'PRIMARY'
[ 2016-02-18T10:57:17+08:00 ]NOTICE: Undefined variable: udata/Applications/MAMP/htdocs/houdun/mogujie/Storage/view/compile/88b2c06621fa633520ac2958b68b073a.php (142).
[ 2016-02-18T10:57:17+08:00 ]NOTICE: Undefined variable: udata/Applications/MAMP/htdocs/houdun/mogujie/Storage/view/compile/88b2c06621fa633520ac2958b68b073a.php (143).
[ 2016-02-18T10:57:17+08:00 ]NOTICE: Undefined variable: udata/Applications/MAMP/htdocs/houdun/mogujie/Storage/view/compile/88b2c06621fa633520ac2958b68b073a.php (144).
[ 2016-02-18T10:57:17+08:00 ]NOTICE: Undefined variable: udata/Applications/MAMP/htdocs/houdun/mogujie/Storage/view/compile/88b2c06621fa633520ac2958b68b073a.php (145).
[ 2016-02-18T10:57:17+08:00 ]NOTICE: Undefined variable: udata/Applications/MAMP/htdocs/houdun/mogujie/Storage/view/compile/88b2c06621fa633520ac2958b68b073a.php (147).
[ 2016-02-18T10:57:17+08:00 ]NOTICE: Undefined variable: udata/Applications/MAMP/htdocs/houdun/mogujie/Storage/view/compile/88b2c06621fa633520ac2958b68b073a.php (149).
[ 2016-02-18T10:57:22+08:00 ]EXCEPTION: Method Home\Controller\UcenterController::changePass() does not exist
[ 2016-02-18T10:57:27+08:00 ]NOTICE: Undefined variable: udata/Applications/MAMP/htdocs/houdun/mogujie/Storage/view/compile/88b2c06621fa633520ac2958b68b073a.php (142).
[ 2016-02-18T10:57:27+08:00 ]NOTICE: Undefined variable: udata/Applications/MAMP/htdocs/houdun/mogujie/Storage/view/compile/88b2c06621fa633520ac2958b68b073a.php (143).
[ 2016-02-18T10:57:27+08:00 ]NOTICE: Undefined variable: udata/Applications/MAMP/htdocs/houdun/mogujie/Storage/view/compile/88b2c06621fa633520ac2958b68b073a.php (144).
[ 2016-02-18T10:57:27+08:00 ]NOTICE: Undefined variable: udata/Applications/MAMP/htdocs/houdun/mogujie/Storage/view/compile/88b2c06621fa633520ac2958b68b073a.php (145).
[ 2016-02-18T10:57:27+08:00 ]NOTICE: Undefined variable: udata/Applications/MAMP/htdocs/houdun/mogujie/Storage/view/compile/88b2c06621fa633520ac2958b68b073a.php (147).
[ 2016-02-18T10:57:27+08:00 ]NOTICE: Undefined variable: udata/Applications/MAMP/htdocs/houdun/mogujie/Storage/view/compile/88b2c06621fa633520ac2958b68b073a.php (149).
